label,ring,quadrant,link,active,moved
Python,Adopt,Languages and Frameworks,https://www.python.org/,TRUE,0
Django,Adopt,Languages and Frameworks,https://www.djangoproject.com/,TRUE,0
Javascript,Adopt,Languages and Frameworks,https://www.javascript.com/,TRUE,0
Typescript,Adopt,Languages and Frameworks,https://www.typescriptlang.org/,TRUE,0
Kotlin,Adopt,Languages and Frameworks,https://kotlinlang.org/,TRUE,0
React,Adopt,Languages and Frameworks,https://react.dev/,TRUE,0
Android,Adopt,Languages and Frameworks,https://developer.android.com/,TRUE,0
Go,Hold,Languages and Frameworks,https://go.dev/,TRUE,0
Ruby on Rails,Hold,Languages and Frameworks,https://rubyonrails.org/,TRUE,0
Rust,Hold,Languages and Frameworks,https://www.rust-lang.org/,TRUE,0
Pytorch,Adopt,Languages and Frameworks,https://pytorch.org/,TRUE,0
Tensorflow,Adopt,Languages and Frameworks,https://www.tensorflow.org/,TRUE,0
MySQL,Hold,Datastores and Data Management,https://www.mysql.com/,TRUE,0
PostgresSQL,Adopt,Datastores and Data Management,https://www.postgresql.org/,TRUE,0
AWS SNS,Trial,Infrastructure,https://aws.amazon.com/sns/,TRUE,0
Novu,Assess,Infrastructure,https://novu.co/,TRUE,0
Firestore,Hold,Datastores and Data Management,https://firebase.google.com/docs/firestore,TRUE,-1
Azure Container Apps,Adopt,Infrastructure,https://azure.microsoft.com/en-in/products/container-apps,TRUE,0
Azure Blob Storage,Adopt,Datastores and Data Management,https://azure.microsoft.com/en-in/products/storage/blobs,TRUE,0
AWS EC2,Hold,Infrastructure,https://aws.amazon.com/ec2/?nc2=h_ql_prod_cp_ec2,TRUE,-1
AWS Containers,Hold,Infrastructure,https://aws.amazon.com/ecs/?nc2=h_ql_prod_ct_ecs,TRUE,-1
AWS Lambda,Hold,Infrastructure,https://aws.amazon.com/lambda/?nc2=h_ql_prod_fs_lbd,TRUE,-1
Cloud Functions,Hold,Infrastructure,https://cloud.google.com/functions,TRUE,0
Apache,Hold,Infrastructure,https://httpd.apache.org/,TRUE,0
Nginx,Hold,Infrastructure,https://www.nginx.com/,TRUE,0
Celery,Adopt,Techniques,https://docs.celeryq.dev/en/stable/,TRUE,0
Sentry,Adopt,Infrastructure,https://sentry.io/,TRUE,0
,,,,TRUE,0
,,,,TRUE,0
,,,,TRUE,0
,,,,TRUE,0
,,,,TRUE,0
,,,,TRUE,0
,,,,TRUE,0
,,,,TRUE,0
,,,,TRUE,0
,,,,TRUE,0
,,,,TRUE,0
,,,,TRUE,0
,,,,TRUE,0
